Melbourne	2020	R13	A	Western Bulldogs	1.3 5.5 5.8 7.10	 52 	2.4 4.4 10.5 12.8	 80 	 L 	 -28 	6-0-6	Carrara	1765	Sat 22-Aug-2020 1:45 PM
Melbourne	2020	R14	H	St Kilda	4.0 5.1 7.3 8.4	 52 	1.3 4.5 6.6 7.7	 49 	 W 	 3 	7-0-6	Traeger Park	1917	Sat 29-Aug-2020 7:10 PM
Melbourne	2020	R15	A	Sydney	2.3 2.4 3.7 6.10	 46 	2.0 7.2 7.4 10.7	 67 	 L 	 -21 	7-0-7	Cazaly's Stadium	3199	Thu 03-Sep-2020 4:40 PM
Melbourne	2020	R16	H	Fremantle	0.1 1.3 2.4 4.9	 33 	1.6 1.9 4.9 6.11	 47 	 L 	 -14 	7-0-8	Cazaly's Stadium	3279	Mon 07-Sep-2020 7:10 PM
Melbourne	2020	R17	A	Greater Western Sydney	5.2 7.5 9.6 12.7	 79 	2.3 7.5 10.7 11.8	 74 	 W 	 5 	8-0-8	Gabba	1204	Sat 12-Sep-2020 7:40 PM
Melbourne	2020	R18	A	Essendon	1.4 6.6 7.7 10.8	 68 	2.0 2.2 3.3 7.7	 49 	 W 	 19 	9-0-8	Carrara	2175	Sat 19-Sep-2020 2:10 PM
Melbourne	2019	R1	H	Port Adelaide	4.3 6.5 9.7 9.7	 61 	2.4 6.8 10.9 12.15	 87 	 L 	 -26 	0-0-1	M.C.G.	38866	Sat 23-Mar-2019 1:45 PM
Melbourne	2019	R2	A	Geelong	2.2 3.4 3.9 6.10	 46 	6.1 7.4 13.4 20.6	 126 	 L 	 -80 	0-0-2	Kardinia Park	27561	Sat 30-Mar-2019 7:25 PM
Melbourne	2019	R3	H	Essendon	3.1 10.1 12.3 18.4	 112 	6.4 8.6 15.6 20.10	 130 	 L 	 -18 	0-0-3	M.C.G.	52475	Fri 05-Apr-2019 7:50 PM
Melbourne	2019	R4	A	Sydney	3.2 8.4 12.7 15.10	 100 	5.4 8.10 9.11 11.12	 78 	 W 	 22 	1-0-3	S.C.G.	26669	Thu 11-Apr-2019 7:20 PM
Melbourne	2019	R5	H	St Kilda	3.3 4.5 4.8 7.13	 55 	4.1 7.2 12.5 15.5	 95 	 L 	 -40 	1-0-4	M.C.G.	35558	Sat 20-Apr-2019 4:35 PM
Melbourne	2019	R6	A	Richmond	4.1 4.2 5.5 6.6	 42 	3.1 5.4 7.9 12.13	 85 	 L 	 -43 	1-0-5	M.C.G.	72704	Wed 24-Apr-2019 7:35 PM
Melbourne	2019	R7	H	Hawthorn	2.3 4.5 9.10 11.13	 79 	4.5 5.8 7.8 11.8	 74 	 W 	 5 	2-0-5	M.C.G.	40864	Sat 04-May-2019 1:45 PM
Melbourne	2019	R8	A	Gold Coast	3.2 3.5 5.9 8.13	 61 	2.1 3.3 5.6 9.6	 60 	 W 	 1 	3-0-5	Carrara	9765	Sat 11-May-2019 4:35 PM
Melbourne	2019	R9	A	West Coast	3.4 5.8 8.12 9.15	 69 	3.2 5.4 7.6 13.7	 85 	 L 	 -16 	3-0-6	Perth Stadium	51162	Fri 17-May-2019 6:10 PM
Melbourne	2019	R10	H	Greater Western Sydney	1.1 1.3 3.6 10.8	 68 	2.5 6.8 12.9 14.10	 94 	 L 	 -26 	3-0-7	M.C.G.	20023	Sun 26-May-2019 1:10 PM
Melbourne	2019	R11	H	Adelaide	6.3 9.4 11.8 12.16	 88 	4.0 5.3 9.4 14.6	 90 	 L 	 -2 	3-0-8	Marrara Oval	10634	Sat 01-Jun-2019 7:10 PM
Melbourne	2019	R12	A	Collingwood	1.2 3.5 5.9 7.15	 57 	3.5 6.8 11.8 15.8	 98 	 L 	 -41 	3-0-9	M.C.G.	74036	Mon 10-Jun-2019 3:20 PM
Melbourne	2019	R14	H	Fremantle	2.1 5.4 9.6 13.7	 85 	4.1 6.4 10.5 11.5	 71 	 W 	 14 	4-0-9	M.C.G.	20211	Sat 22-Jun-2019 1:45 PM
Melbourne	2019	R15	A	Brisbane Lions	3.3 6.5 9.6 11.8	 74 	2.6 4.11 10.14 15.17	 107 	 L 	 -33 	4-0-10	Gabba	24809	Sun 30-Jun-2019 3:20 PM
Melbourne	2019	R16	A	Carlton	4.4 7.11 14.12 15.15	 105 	2.4 5.4 10.6 15.10	 100 	 W 	 5 	5-0-10	M.C.G.	55593	Sun 07-Jul-2019 1:10 PM
